# 多職種連携ゲーム - チーム評価シート
# シナリオ: 退院直後の在宅生活確立と社会的孤立への対応 (copd_heart_failure_home_01)
# バージョン: 3.2 (他者評価方式対応)
# 生成日: 2025-11-29

# ========================================
# 【使用方法】
# 1. 黄色背景のセルに各ループ終了時のステータス値を入力
# 2. チーム評価（青色背景）は自動計算されます
# 3. Relevance指標で計算の信頼性を確認してください
# ========================================

# --- 入力欄（黄色背景） ---
カテゴリ,ステータス名,初期値,Loop 1,Loop 2,Loop 3,説明
# 以下は実装例です。実際のシートでは行番号に合わせて調整してください

# 【患者中心性（Loop 1の例）】
# =((D3+D4)/2)*0.6+((D12+D16+D20+D24)/4)*0.4
# D3: 患者.信頼と受容（Loop 1）
# D4: 患者.自己決定の満足（Loop 1）
# D12: 看護師.連携効果（Loop 1）
# D16: PT.連携効果（Loop 1）
# D20: 医師.連携効果（Loop 1）
# D24: ケアマネ.連携効果（Loop 1）

# 【安全保障（Loop 1の例）】
# =D2*0.4+((D9+D14+D18+D17+D22)/5)*0.6
# D2: 患者.身体状態（Loop 1）
# D9: 看護師.患者安全確保（Loop 1）
# D14: PT.患者安全確保（Loop 1）
# D18: 医師.患者安全確保（Loop 1）
# D17: 医師.症状管理（Loop 1）
# D22: ケアマネ.患者安全確保（Loop 1）

# 【ケアの持続可能性（Loop 1の例）】
# =(10-D6)*0.3+D7*0.2+D21*0.5
# D6: 家族.介護負担（Loop 1）
# D7: 家族.支援への期待（Loop 1）
# D21: ケアマネ.資源調整（Loop 1）

# 【家族支援（Loop 1の例）】
# =(10-D6)*0.3+D7*0.2+D10*0.5
# D6: 家族.介護負担（Loop 1）
# D7: 家族.支援への期待（Loop 1）
# D10: 看護師.家族代弁（Loop 1）

# ========================================
# 【注意事項】
# 1. このCSVファイルはExcel/Google Sheetsで開いてください
# 2. 計算式は参考です。実際のシートでは行番号に合わせて調整してください
# 3. Relevance指標は手動で更新してください（該当職種が参加しているか確認）
# 4. チーム評価の計算根拠は team_evaluation_rules.json に準拠しています
# ========================================

# 生成者: Claude (Anthropic)
# バージョン: 3.2
# 最終更新: 2025-11-29T00:00:00Z
