

```csv title="team_evaluation_sheet.csv"
# チーム評価シート（テストプレイ簡易版）
# シナリオ: 食べたいと言った日（oral_intake_challenge_kato_01）
# 日付: ________  グループ: ___  GM: ________
# 
# 【使い方】
# 1. 各ループのPhase 5で、他者評価の結果を記入してください
# 2. 初期値は事前に記入済みです
# 3. 各ループ終了時の値 = 前の値 + 変化量（±1〜2が基本）
# 4. 値は1〜10の範囲内に収めてください
# 
# ※テストプレイ版のため、患者・家族ステータスとチーム評価4軸の計算は省略しています
# ※職種ステータスの変動と他者評価の機能検証に集中してください

セクション,職種,ステータス,初期値,Loop1変化,Loop1値,Loop2変化,Loop2値,Loop3変化,Loop3値,目標値,達成
# 看護師の自己申告と評価結果:
#   ステータス1(患者安全確保): 申告内容______________ 結果:___
#   ステータス2(心理社会的支援): 申告内容______________ 結果:___
#   ステータス3(家族代弁): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# STの自己申告と評価結果:
#   ステータス1(リハビリ進捗): 申告内容______________ 結果:___
#   ステータス2(専門的貢献): 申告内容______________ 結果:___
#   ステータス3(情報提供): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# MSWの自己申告と評価結果:
#   ステータス1(資源調整): 申告内容______________ 結果:___
#   ステータス2(家族代弁): 申告内容______________ 結果:___
#   ステータス3(制度活用支援): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# ---- Loop 2 ----
# 医師の自己申告と評価結果:
#   ステータス1(症状管理): 申告内容______________ 結果:___
#   ステータス2(患者安全確保): 申告内容______________ 結果:___
#   ステータス3(情報提供): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# 看護師の自己申告と評価結果:
#   ステータス1(患者安全確保): 申告内容______________ 結果:___
#   ステータス2(心理社会的支援): 申告内容______________ 結果:___
#   ステータス3(家族代弁): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# STの自己申告と評価結果:
#   ステータス1(リハビリ進捗): 申告内容______________ 結果:___
#   ステータス2(専門的貢献): 申告内容______________ 結果:___
#   ステータス3(情報提供): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# MSWの自己申告と評価結果:
#   ステータス1(資源調整): 申告内容______________ 結果:___
#   ステータス2(家族代弁): 申告内容______________ 結果:___
#   ステータス3(制度活用支援): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# ---- Loop 3 ----
# 医師の自己申告と評価結果:
#   ステータス1(症状管理): 申告内容______________ 結果:___
#   ステータス2(患者安全確保): 申告内容______________ 結果:___
#   ステータス3(情報提供): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# 看護師の自己申告と評価結果:
#   ステータス1(患者安全確保): 申告内容______________ 結果:___
#   ステータス2(心理社会的支援): 申告内容______________ 結果:___
#   ステータス3(家族代弁): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# STの自己申告と評価結果:
#   ステータス1(リハビリ進捗): 申告内容______________ 結果:___
#   ステータス2(専門的貢献): 申告内容______________ 結果:___
#   ステータス3(情報提供): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 
# MSWの自己申告と評価結果:
#   ステータス1(資源調整): 申告内容______________ 結果:___
#   ステータス2(家族代弁): 申告内容______________ 結果:___
#   ステータス3(制度活用支援): 申告内容______________ 結果:___
#   ステータス4(連携効果): 申告内容______________ 結果:___
# 

# 
# 【テストプレイ検証メモ（GM記入用）】
# 
# 検証1: 他者評価方式は機能したか
#   Phase 5の所要時間: Loop1___分 Loop2___分 Loop3___分
#   評価で揉めた場面: ___________________________
#   スムーズだった場面: ___________________________
#   改善案: ___________________________
# 
# 検証2: パズルピース生成のリアリティ
#   「ありそう」と感じた場面: ___________________________
#   「不自然」と感じた場面: ___________________________
#   参加者からのコメント: ___________________________
# 
# 検証3: 4人×職種混合で議論が回ったか
#   全員が発言できたか: はい / いいえ
#   発言が偏った職種: ___________________________
#   沈黙しがちだった職種: ___________________________
#   改善案: ___________________________
# 
# 検証4: GM1人で2グループ管理できたか
#   ボトルネック: ___________________________
#   タイムマネジメント: ___________________________
#   改善案: ___________________________
# 
# 【自由メモ】
# ___________________________
# ___________________________
# ___________________________
```
